VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount
2,09/04/2018 08:46:24 PM,09/04/2018 09:14:26 PM,2,5.7,1,N,100,33,1,21.5,0.5,0.5,4.56,0,0.3,27.36
1,09/04/2018 08:28:53 PM,09/04/2018 08:54:00 PM,1,10.8,1,N,138,161,1,32.5,0.5,0.5,7.9,5.76,0.3,47.46
1,09/04/2018 08:57:22 PM,09/04/2018 09:03:32 PM,1,0.7,1,N,163,230,1,5.5,0.5,0.5,1.7,0,0.3,8.5
1,09/04/2018 08:19:45 PM,09/04/2018 08:33:40 PM,1,6.6,1,N,87,140,1,20.5,0.5,0.5,4.35,0,0.3,26.15
1,09/04/2018 08:37:26 PM,09/04/2018 08:44:34 PM,1,2.3,1,N,141,137,1,9,0.5,0.5,2.5,0,0.3,12.8
1,09/04/2018 08:56:50 PM,09/04/2018 09:07:33 PM,1,2.4,1,N,162,79,1,10,0.5,0.5,1.7,0,0.3,13
1,09/04/2018 08:24:32 PM,09/04/2018 08:40:51 PM,1,3.7,1,N,209,256,1,15,0.5,0.5,3.25,0,0.3,19.55
1,09/04/2018 08:26:04 PM,09/04/2018 08:38:12 PM,1,1.9,1,N,48,237,2,9.5,0.5,0.5,0,0,0.3,10.8
1,09/04/2018 08:02:44 PM,09/04/2018 08:13:45 PM,2,1.9,1,N,264,264,1,9.5,0.5,0.5,1,0,0.3,11.8
1,09/04/2018 08:27:56 PM,09/04/2018 08:38:51 PM,1,1.9,1,N,264,264,2,9.5,0.5,0.5,0,0,0.3,10.8
1,09/04/2018 08:45:03 PM,09/04/2018 08:47:56 PM,1,1,1,N,264,264,1,5,0.5,0.5,1.25,0,0.3,7.55
1,09/04/2018 08:54:26 PM,09/04/2018 09:06:51 PM,1,4.7,1,N,264,264,1,15,0.5,0.5,2,0,0.3,18.3
2,09/04/2018 08:49:51 PM,09/04/2018 08:53:15 PM,1,0.77,1,N,236,75,1,4.5,0.5,0.5,1,0,0.3,6.8
1,09/04/2018 08:25:57 PM,09/04/2018 08:33:11 PM,1,1,1,N,79,234,1,6.5,0.5,0.5,1.55,0,0.3,9.35
1,09/04/2018 08:41:20 PM,09/04/2018 08:45:29 PM,1,0.7,1,N,90,68,1,5,0.5,0.5,1.85,0,0.3,8.15
1,09/04/2018 08:49:31 PM,09/04/2018 09:01:12 PM,1,1.6,1,N,158,48,1,9.5,0.5,0.5,2.15,0,0.3,12.95
2,09/04/2018 08:38:47 PM,09/04/2018 08:48:02 PM,1,2.67,1,N,246,142,1,10,0.5,0.5,2.26,0,0.3,13.56
2,09/04/2018 08:52:14 PM,09/04/2018 09:00:14 PM,1,1.6,1,N,142,162,2,7.5,0.5,0.5,0,0,0.3,8.8
1,09/04/2018 08:20:45 PM,09/04/2018 08:28:58 PM,2,1.9,1,N,141,236,1,8.5,0.5,0.5,1.5,0,0.3,11.3
1,09/04/2018 08:45:42 PM,09/04/2018 08:51:00 PM,2,1.1,1,N,237,229,2,6,0.5,0.5,0,0,0.3,7.3
1,09/04/2018 08:58:32 PM,09/04/2018 09:03:38 PM,1,1.2,1,N,141,263,2,6,0.5,0.5,0,0,0.3,7.3
1,09/04/2018 08:06:43 PM,09/04/2018 08:09:45 PM,1,0.3,1,N,107,224,2,4,0.5,0.5,0,0,0.3,5.3
1,09/04/2018 08:16:57 PM,09/04/2018 08:32:56 PM,1,2.3,1,N,79,158,2,11.5,0.5,0.5,0,0,0.3,12.8
1,09/04/2018 08:42:31 PM,09/04/2018 08:54:06 PM,1,1.4,1,N,249,114,1,8.5,0.5,0.5,1.47,0,0.3,11.27
1,09/04/2018 08:55:22 PM,09/04/2018 09:24:38 PM,2,3.4,1,N,114,163,1,19,0.5,0.5,4.05,0,0.3,24.35
2,09/04/2018 08:03:48 PM,09/04/2018 08:40:21 PM,1,7.51,1,N,170,225,1,29,0.5,0.5,6.06,0,0.3,36.36
1,09/04/2018 08:17:33 PM,09/04/2018 08:29:27 PM,1,3,1,N,161,238,1,12,0.5,0.5,1.7,0,0.3,15
1,09/04/2018 08:31:08 PM,09/04/2018 08:34:54 PM,1,0.8,1,N,238,166,2,5.5,0.5,0.5,0,0,0.3,6.8
1,09/04/2018 08:57:21 PM,09/04/2018 09:12:10 PM,1,2.7,1,N,229,246,1,12,0.5,0.5,2,0,0.3,15.3
2,09/04/2018 08:16:17 PM,09/04/2018 08:47:28 PM,2,15.8,1,N,132,179,1,43.5,0.5,0.5,8.96,0,0.3,53.76
2,09/04/2018 08:19:56 PM,09/04/2018 08:41:03 PM,1,3.21,1,N,107,231,2,15.5,0.5,0.5,0,0,0.3,16.8
2,09/04/2018 08:43:24 PM,09/04/2018 08:56:54 PM,1,3.78,1,N,231,48,2,13.5,0.5,0.5,0,0,0.3,14.8
1,09/04/2018 08:01:54 PM,09/04/2018 08:09:10 PM,1,1.7,1,N,142,246,1,7.5,1,0.5,1.86,0,0.3,11.16
1,09/04/2018 08:23:51 PM,09/04/2018 08:31:44 PM,1,1.8,1,N,142,237,1,8,0.5,0.5,1.85,0,0.3,11.15
1,09/04/2018 08:42:23 PM,09/04/2018 08:51:21 PM,1,2,1,N,162,263,1,9,0.5,0.5,1.5,0,0.3,11.8
1,09/04/2018 08:14:06 PM,09/04/2018 08:22:19 PM,1,4.8,1,N,87,229,2,14.5,0.5,0.5,0,0,0.3,15.8
1,09/04/2018 08:38:38 PM,09/04/2018 08:47:42 PM,1,1.5,1,N,161,246,1,8,0.5,0.5,1.85,0,0.3,11.15
1,09/04/2018 08:48:56 PM,09/04/2018 09:06:37 PM,1,3.5,1,N,246,79,1,15,0.5,0.5,1,0,0.3,17.3
2,09/04/2018 08:12:39 PM,09/04/2018 08:30:18 PM,1,3.4,1,N,234,263,2,14.5,0.5,0.5,0,0,0.3,15.8
2,09/04/2018 08:32:05 PM,09/04/2018 08:35:21 PM,2,0.43,1,N,263,263,1,4,0.5,0.5,0.5,0,0.3,5.8
2,09/04/2018 08:39:37 PM,09/04/2018 08:50:33 PM,2,2.11,1,N,262,151,1,10,0.5,0.5,2,0,0.3,13.3
1,09/04/2018 08:20:25 PM,09/04/2018 08:26:55 PM,2,1.1,1,N,48,164,2,6.5,0.5,0.5,0,0,0.3,7.8
1,09/04/2018 08:39:23 PM,09/04/2018 08:59:53 PM,1,4,1,N,170,87,1,16,0.5,0.5,4.3,0,0.3,21.6
1,09/04/2018 08:11:15 PM,09/04/2018 08:52:37 PM,1,18,2,N,132,186,1,52,0,0.5,11.7,5.76,0.3,70.26
2,09/04/2018 08:10:46 PM,09/04/2018 08:25:59 PM,2,2.98,1,N,140,238,1,12.5,0.5,0.5,2.76,0,0.3,16.56
2,09/04/2018 08:33:32 PM,09/04/2018 08:36:05 PM,2,0.35,1,N,48,142,1,3.5,0.5,0.5,0.96,0,0.3,5.76
2,09/04/2018 08:43:05 PM,09/04/2018 08:53:41 PM,2,1.91,1,N,163,68,1,9,0.5,0.5,2.58,0,0.3,12.88
1,09/04/2018 08:08:51 PM,09/04/2018 08:21:35 PM,3,2.3,1,N,230,141,2,11,0.5,0.5,0,0,0.3,12.3
1,09/04/2018 08:33:29 PM,09/04/2018 08:41:23 PM,3,0.8,1,N,161,170,2,6.5,0.5,0.5,0,0,0.3,7.8
1,09/04/2018 08:51:53 PM,09/04/2018 08:55:40 PM,1,0.6,1,N,161,100,2,4.5,0.5,0.5,0,0,0.3,5.8
2,09/04/2018 08:17:18 PM,09/04/2018 08:26:14 PM,1,1.41,1,N,234,230,2,8,0.5,0.5,0,0,0.3,9.3
2,09/04/2018 08:30:08 PM,09/04/2018 08:37:26 PM,1,1.72,1,N,230,142,1,7.5,0.5,0.5,1.76,0,0.3,10.56
2,09/04/2018 08:40:26 PM,09/04/2018 08:45:22 PM,1,0.65,1,N,239,238,2,5.5,0.5,0.5,0,0,0.3,6.8
2,09/04/2018 08:47:28 PM,09/04/2018 08:54:50 PM,1,1.48,1,N,238,236,2,7,0.5,0.5,0,0,0.3,8.3
2,09/04/2018 08:13:46 PM,09/04/2018 08:21:45 PM,2,1.18,1,N,162,141,1,7,0.5,0.5,1.24,0,0.3,9.54
2,09/04/2018 08:28:50 PM,09/04/2018 08:34:09 PM,3,1.02,1,N,229,137,1,5.5,0.5,0.5,1.36,0,0.3,8.16
2,09/04/2018 08:42:38 PM,09/04/2018 08:56:02 PM,2,2.63,1,N,233,239,2,11,0.5,0.5,0,0,0.3,12.3
2,09/04/2018 08:58:07 PM,09/04/2018 09:06:20 PM,3,1.67,1,N,239,48,1,7.5,0.5,0.5,1.76,0,0.3,10.56
2,09/04/2018 08:17:02 PM,09/04/2018 08:35:28 PM,5,3.81,1,N,233,43,1,15.5,0.5,0.5,3.36,0,0.3,20.16
2,09/04/2018 08:19:13 PM,09/04/2018 08:33:35 PM,1,2.13,1,N,100,107,1,11,0.5,0.5,1,0,0.3,13.3
2,09/04/2018 08:37:51 PM,09/04/2018 09:00:41 PM,1,5.39,1,N,234,226,1,19.5,0.5,0.5,4.16,0,0.3,24.96
1,09/04/2018 08:10:43 PM,09/04/2018 08:14:14 PM,1,0.9,1,Y,239,238,2,5,0.5,0.5,0,0,0.3,6.3
1,09/04/2018 08:27:05 PM,09/04/2018 08:48:16 PM,1,7.3,1,Y,43,88,2,23.5,0.5,0.5,0,0,0.3,24.8
1,09/04/2018 08:49:46 PM,09/04/2018 09:03:04 PM,1,1.6,1,Y,88,148,2,10,0.5,0.5,0,0,0.3,11.3
2,09/04/2018 08:02:10 PM,09/04/2018 08:14:12 PM,4,2.68,1,N,141,145,1,11.5,0.5,0.5,1.92,0,0.3,14.72
2,09/04/2018 08:01:20 PM,09/04/2018 08:02:26 PM,1,0.36,1,N,239,238,2,3,0.5,0.5,0,0,0.3,4.3
